Size,Naive,CacheAware,CacheOblivious,CacheAware1D
1012,76.2403,80.3688,186.807,158.294
1013,83.9828,79.2464,190.533,145.749
1014,76.6997,80.31,186.42,136.252
1015,79.4567,82.622,185.021,142.276
1016,77.2426,78.1583,187.226,132.632
1017,77.5826,77.3022,186.209,135.577
1018,78.0078,79.4678,185.772,135.205
1019,81.1656,79.7307,186.107,141.978
1020,84.98,85.398,191.138,144.447
1021,79.5535,79.5459,180.17,137.637
1022,79.7549,80.1062,186.931,146.658
1023,80.6358,80.8135,187.103,138.534
1024,76.5896,76.7029,120.365,145.479
1025,80.6178,81.0432,92.5786,140.8
1026,80.9186,80.645,98.1206,140.526
1027,81.2185,83.077,97.83,138.156
1028,81.5361,81.3342,100.065,152.364
1029,85.1881,85.3185,101.169,150.507
1030,84.566,83.544,101.977,157.45
1031,85.9188,84.251,99.1232,146.986
1032,85.6567,83.704,99.4444,146.428
1033,86.1998,85.4907,103.207,144.329
1034,84.6677,84.4096,102.663,147.861
1035,84.9745,85.3459,100.37,139.369
1036,85.268,85.3025,99.3974,140.212
